Namespace,Key,英文原文,原版中文（官方zh）,AI翻译,DeepSeek参考,翻译状态,生效预估（AI预估，仅供参考）
（根命名空间）,0F6D7A8E4C12F7ACA882439DA4FD7C36,"- ""Not available in demo"" is now displayed in the rank up widget for objects in the unlocked tech panel that are not available in the demo
- Updated overview filter button colors
- Updated benchmark sequence
- Updated stations
- Reduced resource costs for Slant and Cleft nodes
- Lowered the power requirement for Scaffold nodes from 500 to 10
- Enabled the construction tower in the demo
- Adjusted Mini build menu offset",,,"- 现在会在未解锁科技面板中，试玩版不可用的物件升级控件上显示「试玩版不可用」
- 更新了总览过滤按钮的颜色
- 更新了基准测试序列
- 更新了空间站
- 降低了倾斜和裂隙节点的资源消耗
- 将脚手架节点的能量需求从500降至10
- 启用了试玩版中的建造塔
- 调整了迷你建造菜单的偏移量",未翻译,—（未翻译）
（根命名空间）,10E973164DA1821FD5B0278C88D6BBA3,Build Construction Engineers ,打造建造工程舰 ,,建造工程船,原版已有,✅ 已生效（原版支持）
（根命名空间）,114A593C4FF9331DD68D288D0A9500E5,Mining,采矿,,采矿,原版已有,✅ 已生效（原版支持）
（根命名空间）,12821E9541781826C97F57BCC05C1A77,Build Hulk Node ,,建造废船节点 ,建造巨型节点,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,12E3EA6441147C39FC71EC9A5E3D182E,"Welcome to the bulletin board for Starminer!

Here you can stay up to date with recent news and announcements.

We've also added a change log with a record of all the recent updates and changes we've made to the game. By keeping an eye on the change log, you can stay up to date with all the new features, bugfixes, and new keyboard shortcuts.

Whether you're a new player or a seasoned veteran, this is a great way to ensure that you're getting the most out of your experience.

As always, don't hesitate to tell us your feedback – join our discord or write to us directly: info@coolandgoodgames.com

Thanks for playing our game and good luck out there on the brink!",,"欢迎来到星矿公告板！

在这里您可以了解最新的新闻和公告。

我们还添加了更新日志，记录了游戏的所有最新更新和改动。通过关注更新日志，您可以及时了解所有新功能、错误修复和新的键盘快捷键。

无论您是新手玩家还是资深老将，这都是确保您充分体验游戏的绝佳方式。

一如既往，请随时告诉我们您的反馈 - 加入我们的Discord或直接写信给我们：info@coolandgoodgames.com

感谢您游玩我们的游戏，祝您在边缘地带好运！","欢迎来到《星矿》公告板！

在这里，你可以了解最新的新闻和公告。

我们还添加了更新日志，记录了近期我们对游戏做出的所有更新和改动。关注更新日志，你就能及时掌握所有新功能、错误修复和新的键盘快捷键。

无论你是新玩家还是老手，这都是确保你获得最佳游戏体验的好方法。

和往常一样，请不要犹豫，随时告诉我们你的反馈——加入我们的Discord或直接写信给我们：info@coolandgoodgames.com

感谢你游玩我们的游戏，祝你在星海边缘好运！",AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,13A78711417BDB28F65719906808B183,Salvage Space Junk,,回收太空垃圾,打捞太空垃圾,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,13BBFA204DC26499E492F4957A067D59,INTERSTELLAR,星际,,星际,原版已有,✅ 已生效（原版支持）
（根命名空间）,1419E6D043787EDEFC941DBBE8F021E7,A hangar can hold and produce engineers and fighter craft.,,机库可以容纳和生产工程师以及战斗机。,机库可以容纳并生产工程船和战斗机。,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,1482B72C4A1F1F81E138EBB6B4D73E40,Weapons,武器,,武器,原版已有,✅ 已生效（原版支持）
（根命名空间）,157AFD3443B923A8B785798CEF9F3E98,"- No longer show current weapon group count when a weapon is not in a group
- Updated construction material outline color
- T2 Construction Tower range increased
- T1 and T2 thruster power increased
- Fixed T2/T3 Commander icons
- Fixed the research screen icon not showing correctly for T2 Commander
- Sell Storage option is no longer available in the demo
- Build mode widget animation smoothed and sped up
- Updated ILLSpace.exe application icon
- Info dialogue portrait icon updated
- Text style tweak
- Price list tweak
- Menu station updates
- Hydra now has T2 Refineries
- Added screenshot capture for auto-save
- Quick fix for Engineers to avoid getting stuck (side effect: may pass through obstacles until new ",,"- 武器未分组时不再显示当前武器组数量
- 更新了建造材料轮廓颜色
- T2 建造塔范围增加
- T1 和 T2 推进器功率增加
- 修复了 T2/T3 指挥舰图标
- 修复了 T2 指挥舰在研究界面图标显示不正确的问题
- 演示版中不再提供出售仓库选项
- 建造模式部件动画更流畅、更快速
- 更新了 ILLSpace.exe 应用程序图标
- 更新了信息对话框肖像图标
- 文本样式调整
- 价格列表调整
- 菜单空间站更新
- Hydra 现在拥有 T2 精炼厂
- 添加了自动保存截图功能
- 快速修复了工程师卡住的问题（副作用：在新版本前可能会穿过障碍物","- 当武器未编入组时，不再显示当前武器组计数
- 更新了建筑材料的轮廓颜色
- 增加了T2建造塔的范围
- 增加了T1和T2推进器的功率
- 修复了T2/T3指挥官图标
- 修复了T2指挥官研究界面图标显示不正确的问题
- 试玩版中不再提供「出售存储」选项
- 平滑并加速了建造模式小部件的动画
- 更新了ILLSpace.exe应用程序图标
- 更新了信息对话框的肖像图标
- 调整了文本样式
- 调整了价格列表
- 更新了菜单空间站
- 九头蛇现在拥有T2精炼厂
- 为自动保存添加了截图捕获功能
- 针对工程船卡住的快速修复（副作用：在新补丁前可能会穿过障碍物）",AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,1589556848F7DEC5124C9EBA4CDD053C,ROOKIE SILICATE MINER,新锐硅酸盐矿工,,硅酸盐采矿新手,原版已有,✅ 已生效（原版支持）
（根命名空间）,1596BF14483EAE97BA99BCB099BAB2B2,Your all-in-one solution for various space ops.,针对各种太空操作的一体化解决方案。,,你应对各种太空行动的一体化解决方案。,原版已有,✅ 已生效（原版支持）
（根命名空间）,165241254B00E68D790EA9AA06F6B464,VETERAN SILICATE MINER,老练硅酸盐矿工,,资深硅酸盐矿工,原版已有,✅ 已生效（原版支持）
（根命名空间）,16A8CD0C44039CB3BEBCC18F5D328D55,Weapons,武器,,武器,原版已有,✅ 已生效（原版支持）
（根命名空间）,17D5D0F3454785711A1ABF897B00BC05,Loaded with resources and has good energy generation. Outfitted with two T2 construction towers and no mining or combat capabilities.,,装载了资源且拥有良好的能源生产。配备两座T2建造塔，无采矿或战斗能力。,装载大量资源且能量产出优秀。配备两座T2建造塔，无采矿与战斗能力。,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,18FD9D8942DDD47B5EA9C48FE3629B12,AEROSPACE SUPERIORITY,航空航天优势,,制空权,原版已有,✅ 已生效（原版支持）
（根命名空间）,194CFF3B4049605310608AA9E6FC5484,Fleet,舰队,,舰队,原版已有,✅ 已生效（原版支持）
（根命名空间）,1B13D5544C2747729AF93E9E1659DD7B,"- Docking no longer shows Station Groups overlay
- Improved Hover/Unhover cursor precision (less flickering)",,"- 停靠时不再显示空间站分组覆盖层
- 改善了鼠标悬停/取消悬停的光标精度（减少闪烁）","- 停靠时不再显示空间站分组叠加层
- 优化悬停/取消悬停光标精度（减少闪烁）",AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,1BF07B304EBAC7B38D03E1B811B91C53,Jump sectors ,跃迁区域 ,,跳跃星区 ,原版已有,✅ 已生效（原版支持）
（根命名空间）,1CB890FE48F0A12A31F35AACBD19F589,Packaged Parts,已打包部件,,封装零件,原版已有,✅ 已生效（原版支持）
（根命名空间）,1D56324D463F394B1BE48B8C4EB0139B,Basics,基础操作,,基础,原版已有,✅ 已生效（原版支持）
（根命名空间）,203A80584822109A128E828C828E053C,Move Right,向右移动,,右移,原版已有,✅ 已生效（原版支持）
（根命名空间）,21E607F746BD91366A6256B0045D797A,Mining,采矿,,采矿,原版已有,✅ 已生效（原版支持）
（根命名空间）,23425036479A9BE1B8A082AF5C5E6E91,MASTER COBALT MINER,钴矿挖掘专家,,钴矿大师,原版已有,✅ 已生效（原版支持）
（根命名空间）,23C38FB6403BCD65BFB1639C0AC3D699,Toggle Starmap,切换星图,,切换星图,原版已有,✅ 已生效（原版支持）
（根命名空间）,244C7DC942592EAF4E77B588E01E399C,Fleet,舰队,,舰队,原版已有,✅ 已生效（原版支持）
（根命名空间）,2475B9AA48EBAEA33F72E6A1E0923D2B,Toggle Thruster Group 5,切换第 5 推进器组,,切换推力器组5,原版已有,✅ 已生效（原版支持）
（根命名空间）,24AE312943313D9F3485C2918690BAC5,Detach hulk node from station,,从空间站分离废墟节点,将残骸节点从空间站分离,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,255D66484B9CCA67AECF828A30B13853,"- Player ""face"" now set when possessing stations
- Construction now completes when metals are delivered before energy
- Updated station names now displayed in the ""Station Data"" window after renaming current station
- Exhaust is no longer shown if packages are stranded
- Various performance optimizations
- Detected enemy icons now displayed
- Assigned updated thruster FX to resource packages
- Smaller build/target/mine cursors
- Crash prevention for thruster context click
- Crash prevention for missing construction target point
- Crash prevention when using scanners
- Crash prevention for missing officer modifier
- Engineer Constructor and Construction Tower targeting/build process fixes
- Construction Tower resources now shown in Object Context window
- Fixed HUD popup on game start
- Laser position now resets on deactivation
- Save/Load window now closes when pressing Esc in the main menu
- Gatling gun animation fixed
- Correct NPC now addresses the player in Demo Mission 2",,,"- 玩家「表情」现在会在占据空间站时设置
- 现在当金属在能源之前送达时，建造会完成
- 重命名当前空间站后，「空间站数据」窗口中现在会显示更新后的空间站名称
- 如果包裹搁浅，不再显示尾焰
- 多项性能优化
- 现在显示已探测到的敌人图标
- 为资源包裹分配了更新的推进器特效
- 缩小了建造/目标/开采光标
- 修复了推进器右键点击导致崩溃的问题
- 修复了缺少建造目标点导致崩溃的问题
- 修复了使用扫描仪时导致崩溃的问题
- 修复了缺少军官修正项导致崩溃的问题
- 修复了工程师建造者和建造塔的瞄准/建造流程
- 建造塔的资源现在显示在「对象内容」窗口中
- 修复了游戏开始时HUD弹窗的问题
- 激光位置现在在停用时重置
- 在游戏主菜单按Esc键时，保存/加载窗口现在会关闭
- 修复了加特林机枪动画
- 在演示任务2中，正确的NPC现在会向玩家致辞",未翻译,—（未翻译）
（根命名空间）,25DBCD4B409547B1F84F87ADE52CF045,"Refineries are used to process mined ore into usable resources. These resources are used either for construction, upkeep, or the creation of more colonists (H2O).",,精炼厂用于将开采的矿石加工成可用资源。这些资源用于建造、维护或创造更多殖民者（H2O）。,精炼厂用于将开采的矿石加工成可用资源。这些资源用于建造、维护或制造更多殖民者（水）。,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,273402A4455AD69500DA0D95662D083C,Complete missions ,完成任务 ,,完成任务,原版已有,✅ 已生效（原版支持）
（根命名空间）,273B17274167C05AD85453B888B6947F,Fleet,舰队,,舰队,原版已有,✅ 已生效（原版支持）
（根命名空间）,28F8887C434135ED4794E882DDBE425E,"- Collectable object tooltips
- Optimized thruster particles for packages
- Mass stat added to Info window
- Trade route details shown when hovering over trade packages
- Extended objective text now shown on hovering over the objective window
- New Engineer movement status texts
- Nodes with available sockets highlighted with a green outline in build mode
- Dialogue window now supports images
- Dialogue images now appear in Bulletin dialogue history
- Save/load station blueprints",,"- 可收集物体提示框
- 优化包裹推进器粒子效果
- 信息窗口添加质量统计
- 鼠标悬停在贸易包裹上时显示贸易路线详情
- 鼠标悬停在目标窗口上时显示扩展目标文本
- 新增工程师移动状态文本
- 建造模式下有可用插槽的节点以绿色轮廓高亮显示
- 对话窗口现在支持图片
- 对话图片现在显示在公告对话历史中
- 保存/加载空间站蓝图","- 可收集物品的提示框
- 优化了包裹的推进器粒子效果
- 信息窗口中添加了质量属性
- 鼠标悬停在贸易包裹上时显示贸易路线详情
- 鼠标悬停在目标窗口上时显示扩展目标文本
- 新增工程师移动状态文本
- 在建造模式下，具有可用插槽的节点以绿色轮廓高亮显示
- 对话窗口现在支持图片
- 对话图片现在出现在公报对话历史记录中
- 保存/加载空间站蓝图",AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,28FBA3E74903864CAE312CB0548D2D9E,Toggle Help,切换帮助,,切换帮助,原版已有,✅ 已生效（原版支持）
（根命名空间）,29FC153B43D988BDFCA2CE9A2B17DD42,Warning: All parked crafts will be deconstructed along with it!,警告：所有停泊在此模块的舰船都将被一并拆除！,,警告：所有停靠的飞行器将一并被拆除！,原版已有,✅ 已生效（原版支持）
（根命名空间）,2AC6AA324A350E73A7C67C8B3C226B5D,VETERAN COBALT SALVAGE,老练钴矿回收工,,老练的钴矿打捞者,原版已有,✅ 已生效（原版支持）
（根命名空间）,2B2395F34385DF949C51289BF5F1218E,Salvage Space Junk,,回收太空垃圾,打捞太空垃圾,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,2B2919C849508E8E4808618E1DCDE2CA,ROOKIE IRON SALVAGE,新锐铁矿回收工,,菜鸟铁矿打捞者,原版已有,✅ 已生效（原版支持）
（根命名空间）,2C00A3AD48C63B0E3A39A78A6484EDC7,SUPREME DEFENDER,至高守卫,,至高防御者,原版已有,✅ 已生效（原版支持）
（根命名空间）,2E196185497E40D55D5D2798CC8944AF,"- Disabled Build mode until the appropriate objective in Tutorial 1
- Disabled deconstruct options in Tutorial 1 until the appropriate objective
- Updated tutorial dialogues
- Split the ""Build Solar Panels"" objective into separate energy transfer steps
- Modified Tutorial 1 final objective to better introduce mining specific resources and reduce completion time
- Dialogue window now displays side-by-side with the Trade Window or Operations Interface
- Renamed ""Deep Space Refine"" to ""DS-Refine""
- Permanently display station markers for player-owned stations
- Auto-brakes and mining are disabled at start for all player stations in Tutorial 2",,,"- 在教学1中，禁用建造模式直至达成适当目标
- 在教学1中，禁用拆除选项直至达成适当目标
- 更新了教学对话
- 将「建造太阳能板」目标拆分为独立的能量传输步骤
- 修改了教学1的最终目标，以更好地引入开采特定资源并减少完成时间
- 对话窗口现在与贸易窗口或操作界面并排显示
- 将「深空精炼」重命名为「DS-精炼」
- 始终显示玩家拥有的空间站标记
- 在教学2中，所有玩家空间站开始时禁用自动刹车和开采",未翻译,—（未翻译）
（根命名空间）,2E5020034D53F99185627BB2116051F2,MASTER EONITE MINER,耀矿挖掘专家,,精湛的乌金矿工,原版已有,✅ 已生效（原版支持）
（根命名空间）,2EF4BAFF4A3FAC4A4703428294970390,Weapons,武器,,武器,原版已有,✅ 已生效（原版支持）
（根命名空间）,2FB3256B4DE2867455335CA3014033F1,Angled connector with two T1 expansion slots.,带有两个 T1 扩展槽位的转角连接器。,,带有两个T1扩展槽的转角连接件。,原版已有,✅ 已生效（原版支持）
（根命名空间）,3021C6C84D2A3BC294036CB458DB8055,A medium container for storing refined materials.,,用于储存精炼材料的中型容器。,用于储存精炼材料的中型容器。,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,308E4FB843E4A56015190B93EEF46FE5,"- Added Angle Connector nodes
- Added aggressive NPC Fighter AI
- Added new pirate stations
- Fighters can now target Engineers and other Fighters
- Introduced new demo missions
- Overview UI now displays different icons for owned, NPC, and hostile stations
- Added ""Dock with Station"" objective type",,,"- 新增转角连接节点
- 新增攻击性NPC战斗机AI
- 新增海盗空间站
- 战斗机现在可以以工程师和其他战斗机为目标
- 推出新的演示任务
- 概览界面现在用不同图标显示玩家、NPC和敌对空间站
- 新增「停靠空间站」目标类型",未翻译,—（未翻译）
（根命名空间）,30F2A7414DD3489829ECE382C327E335,Mine Chunks,开采矿石块,,开采矿石碎片,原版已有,✅ 已生效（原版支持）
（根命名空间）,3143D7B8454CF5C5BB8B97880FEA2AD2,Salvage Space Junk,,回收太空垃圾,打捞太空垃圾,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,31A1DC4646EF7592FA151C95276A32A0,"- Minor text updates
- Environmental updates and optimizations
- Disabled merge station command in the ""Ducks in a Row"" mission
- Perks now sorted in groups
- Obsolete modifiers are no longer available in the demo
- The demo station Hydra now has 100 thorium for sale
- Credits reward no longer appears if it is zero
- Updated mission, dialog, and info point texts
- Functional NPC stations that became nonfunctional are now possessable
- Show default cursor when ops interface is opened
- Button text outline instead of shadow
- Disabled ""Set"" button on the automation form until all conditions are met
- Dialogue widget animation updates
- Tweaked factory energy requirements and process durations
- Heat system
- Quarters now draw water from station storage",,,"- 少量文本更新
- 环境更新与优化
- 在「鸭子列队」任务中禁用了合并空间站指令
- 技能现在分组排列
- 过时的属性修饰器在演示版中不再可用
- 演示版空间站「九头蛇」现在出售100单位的钍
- 如果奖励为零，点数奖励不再显示
- 更新了任务、对话和信息点文本
- 失效的NPC功能空间站现在可以被占据
- 打开操作界面时显示默认光标
- 按钮文本使用轮廓而非阴影
- 禁用自动化面板上的「设置」按钮，直到满足所有条件
- 对话控件动画更新
- 调整了工厂能量需求和生产周期
- 热量系统
- 居住舱现在从空间站仓库抽取水资源",未翻译,—（未翻译）
（根命名空间）,3333154E4A0DE0AD4E9AF7AAE7EE07FE,Engage Brake Boosters,启动制动助推器,,启动制动推进器,原版已有,✅ 已生效（原版支持）
（根命名空间）,3382C62E4898C1DE2AFC049E216A9061,ToggleDevPanel,切换开发者面板,,切换开发者面板,原版已有,✅ 已生效（原版支持）
（根命名空间）,33A0C52849EC050DA8C6F7B31E225F0D,"- Ice planet collision fix
- Performance tweaks
- Disassemble and scrap module fix — modules now generate packages on the spot if no door is present
- Cursor display fix
- Show module-parts icons in storage grids
- Saving Sandbox mode now also saves auto-unlocked modules
- RankUp widget now correctly displays unlocked modules
- Fixed radar range visualization
- Docking tooltip now appears correctly when approaching stations
- T3 Solar and T2 Radiator animation consistency fix after save/load
- Added location picker and proper routing for disassembled packages",,"- 修复冰行星碰撞
- 性能优化
- 修复拆解和报废模块——模块现在会在没有门时就地生成包裹
- 修复光标显示
- 在存储网格中显示模块部件图标
- 保存沙盒模式时现在也会保存自动解锁的模块
- 升级界面现在正确显示已解锁的模块
- 修复雷达范围显示
- 靠近空间站时对接提示现在正确显示
- 修复保存/加载后 T3 太阳能板和 T2 散热器的动画一致性
- 为拆解的包裹添加位置选择器和正确的路径规划","- 修正冰行星碰撞
- 性能微调
- 修正拆卸与报废模块——现在若没有舱门，模块会在原地生成包裹
- 修正光标显示
- 在存储网格中显示模块部件图标
- 保存沙盒模式现在也会一并保存已自动解锁的模块
- 晋升控件现在正确显示已解锁的模块
- 修正雷达范围可视化
- 靠近空间站时停靠提示现在能正确显示
- 修正T3太阳能板和T2散热器在保存/加载后的动画一致性问题
- 为拆卸包裹新增位置选择器和正确的运输路径",AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,3454C37A4C5619ED8247F68D578BF181,MASTER THORIUM SALVAGE,钍矿回收专家,,大师级钍打捞,原版已有,✅ 已生效（原版支持）
（根命名空间）,351FD56149DDDB808D4A4F89982144CD,"- Construction modifiers fix (fixes constructors not finishing jobs)
- Fixed haulers picking up chunks
- Added ""manage storage"" back to the operations context window
- Fixed ""MISSING STRING TABLE ENTRY"" for some objective types",,,"- 修正建造属性修饰器（解决了建造者无法完成作业的问题）
- 修正了搬运无人机拾取矿石碎片的问题
- 将「管理仓储」重新加回操作菜单
- 修复了部分目标类型的「字符串表条目丢失」问题",未翻译,—（未翻译）
（根命名空间）,359B8A634D7F87D344F9B5ADABED4AA1,CONSTRUCTION FLOTILLA,建造舰大船团,,建造者船队,原版已有,✅ 已生效（原版支持）
（根命名空间）,35B5DB23419231620DB733B05DB81B41,A medium battery. Stores a moderate amount of excessive energy. ,,中型电池。可储存适量的多余能量。,一个中型电池。可储存中等量的富余能量。,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,35CCFD9A4D4B98E1D7D0458EC0AD6EC5,Mining,采矿,,开采,原版已有,✅ 已生效（原版支持）
（根命名空间）,35F49EE443023E8122197F8404A892DF,"- New and updated character faces
",,"- 新增和更新了角色面孔
",- 新增并更新了角色头像,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,3639D65C47FD4A3B81A18DAC13AAB2A9,Move Down,向下移动,,下移,原版已有,✅ 已生效（原版支持）
（根命名空间）,36FC72B84D73B02972EF77A41E8E14B6,ROOKIE ICE MINER,新锐冰矿矿工,,初级冰矿矿工,原版已有,✅ 已生效（原版支持）
（根命名空间）,39BA6B6E4F0B877EA530A7BC660EA2A0,SpaceBarPressed,按下空格键,,空格键按下,原版已有,✅ 已生效（原版支持）
（根命名空间）,3A184EFE43DCDE0E1D687AAE63F8229C,Yaw Left,向左偏航,,左偏航,原版已有,✅ 已生效（原版支持）
（根命名空间）,3AA45EA949F4E87B1F6D50B5A3A0FFD1,Command Stations ,指挥站点 ,,指挥站,原版已有,✅ 已生效（原版支持）
（根命名空间）,3B0B21AD4E9926191239059DF966E7DB,Destroy Enemies ,摧毁敌人 ,,摧毁敌人,原版已有,✅ 已生效（原版支持）
（根命名空间）,3B6054B24B093510F11EB1932142BC49,Toggle RTX,切换 RTX,,切换RTX,原版已有,✅ 已生效（原版支持）
（根命名空间）,3D9646564459C9FF60F223B217B79246,UNDER THE DOME,穹顶之下,,穹顶之下,原版已有,✅ 已生效（原版支持）
（根命名空间）,3DBA5BD94333A46B23C3B883EB92F4FA,Can engage enemies right from the get-go.,随时可以与敌人交战。,,从一开始就能与敌人交战。,原版已有,✅ 已生效（原版支持）
（根命名空间）,3E8AC80D42A2721C7803E7A6AB2906D9,"- Fixed deadlocked engineers
- Fixed Construction Tower resource consumption
- Fixed scanned asteroid composition data in the log
- Fixed the display of metal storage values for Engineer Constructors",,"- 修复了工程师死锁问题
- 修复了建造塔资源消耗问题
- 修复了日志中扫描的小行星成分数据
- 修复了工程建造船金属储存值显示问题","- 修复了工程师死锁的问题
- 修复了建造塔资源消耗的问题
- 修复了日志中扫描小行星成分数据的问题
- 修复了工程师建造者金属存储值显示的问题",AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,3F49F4E64E169AF5F1843398518A3B36,Build Hulk Node ,,建造废船节点 ,建造废船节点,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,3F92EB2841135A84F0611A8A7718AE1B,"- Option added to turn off Anti-aliasing
- Objects under construction can now receive damage
- Close button on rank up widget",,"- 新增关闭抗锯齿的选项
- 建造中的物体现在可以受到伤害
- 升级小组件上的关闭按钮","- 新增了关闭抗锯齿的选项
- 建造中的对象现在会受到伤害
- 添加了升级控件的关闭按钮",AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,3FC4E58D4A229B255D4827BC747A9627,Missile Launcher,导弹发射器,,导弹发射器,原版已有,✅ 已生效（原版支持）
（根命名空间）,411C9ABF46987DFBA7234AAB991FCB2C,ROOKIE DEFENDER,新锐守卫,,初级防御者,原版已有,✅ 已生效（原版支持）
